START_TIME,2017-03-09T05:31:38.060,,
END_TIME,2017-03-09T07:20:24.873,,
MAX_ITER,50,,
TRIM_OFFSET,0,,
,,,
test_key,run_time (ms),test_size (n),run_time / 40
PAR2_BEST_0_1000,95,1000,2.375
PAR2_BEST_1_5000,329,5000,8.225
PAR2_BEST_2_10000,16,10000,0.4
PAR2_BEST_3_50000,269,50000,6.725
PAR2_BEST_4_100000,542,100000,13.55
PAR2_BEST_5_500000,3119,500000,77.975
PAR2_BEST_6_1000000,6110,1000000,152.75
PAR2_BEST_7_5000000,25817,5000000,645.425
PAR2_BEST_8_10000000,53459,10000000,1336.475
PAR2_BEST_9_50000000,666399,50000000,16659.975
PAR4_BEST_0_1000,205,1000,5.125
PAR4_BEST_1_5000,339,5000,8.475
PAR4_BEST_2_10000,0,10000,0
PAR4_BEST_3_50000,359,50000,8.975
PAR4_BEST_4_100000,499,100000,12.475
PAR4_BEST_5_500000,3057,500000,76.425
PAR4_BEST_6_1000000,6522,1000000,163.05
PAR4_BEST_7_5000000,24265,5000000,606.625
PAR4_BEST_8_10000000,54945,10000000,1373.625
PAR4_BEST_9_50000000,657076,50000000,16426.9
SEQ_BEST_0_1000,0,1000,0
SEQ_BEST_1_5000,15,5000,0.375
SEQ_BEST_2_10000,15,10000,0.375
SEQ_BEST_3_50000,430,50000,10.75
SEQ_BEST_4_100000,813,100000,20.325
SEQ_BEST_5_500000,4901,500000,122.525
SEQ_BEST_6_1000000,10858,1000000,271.45
SEQ_BEST_7_5000000,62084,5000000,1552.1
SEQ_BEST_8_10000000,114135,10000000,2853.375
SEQ_BEST_9_50000000,1097800,50000000,27445
