test_key,run_time (ms),test_size (n)
PAR_AVG_0_1000,0,1000
PAR_AVG_1_5000,0,5000
PAR_AVG_2_10000,0,10000
PAR_AVG_3_50000,15,50000
PAR_AVG_4_100000,31,100000
PAR_AVG_5_500000,109,500000
PAR_AVG_6_1000000,204,1000000
PAR_AVG_7_5000000,1108,5000000
PAR_AVG_8_10000000,2185,10000000
PAR_AVG_9_50000000,13745,50000000
SEQ_AVG_0_1000,15,1000
SEQ_AVG_1_5000,16,5000
SEQ_AVG_2_10000,0,10000
SEQ_AVG_3_50000,31,50000
SEQ_AVG_4_100000,63,100000
SEQ_AVG_5_500000,203,500000
SEQ_AVG_6_1000000,390,1000000
SEQ_AVG_7_5000000,1888,5000000
SEQ_AVG_8_10000000,10749,10000000
SEQ_AVG_9_50000000,23338,50000000
