test_key,run_time (ms),test_size (n)
PAR_AVG_0_1000,0,1000
PAR_AVG_1_5000,0,5000
PAR_AVG_2_10000,0,10000
PAR_AVG_3_50000,0,50000
PAR_AVG_4_100000,165,100000
PAR_AVG_5_500000,67,500000
PAR_AVG_6_1000000,128,1000000
PAR_AVG_7_5000000,790,5000000
PAR_AVG_8_10000000,1759,10000000
PAR_AVG_9_50000000,10397,50000000
PAR_BEST_0_1000,6,1000
PAR_BEST_1_5000,3,5000
PAR_BEST_2_10000,10,10000
PAR_BEST_3_50000,13,50000
PAR_BEST_4_100000,15,100000
PAR_BEST_5_500000,55,500000
PAR_BEST_6_1000000,110,1000000
PAR_BEST_7_5000000,831,5000000
PAR_BEST_8_10000000,1535,10000000
PAR_BEST_9_50000000,10792,50000000
PAR_WORST_0_1000,0,1000
PAR_WORST_1_5000,0,5000
PAR_WORST_2_10000,16,10000
PAR_WORST_3_50000,15,50000
PAR_WORST_4_100000,16,100000
PAR_WORST_5_500000,78,500000
PAR_WORST_6_1000000,239,1000000
PAR_WORST_7_5000000,672,5000000
PAR_WORST_8_10000000,1455,10000000
PAR_WORST_9_50000000,10690,50000000
SEQ_AVG_0_1000,0,1000
SEQ_AVG_1_5000,0,5000
SEQ_AVG_2_10000,0,10000
SEQ_AVG_3_50000,15,50000
SEQ_AVG_4_100000,17,100000
SEQ_AVG_5_500000,100,500000
SEQ_AVG_6_1000000,231,1000000
SEQ_AVG_7_5000000,1305,5000000
SEQ_AVG_8_10000000,2847,10000000
SEQ_AVG_9_50000000,16539,50000000
SEQ_BEST_0_1000,5,1000
SEQ_BEST_1_5000,2,5000
SEQ_BEST_2_10000,2,10000
SEQ_BEST_3_50000,12,50000
SEQ_BEST_4_100000,26,100000
SEQ_BEST_5_500000,91,500000
SEQ_BEST_6_1000000,197,1000000
SEQ_BEST_7_5000000,1139,5000000
SEQ_BEST_8_10000000,10041,10000000
SEQ_BEST_9_50000000,20760,50000000
SEQ_WORST_0_1000,0,1000
SEQ_WORST_1_5000,0,5000
SEQ_WORST_2_10000,0,10000
SEQ_WORST_3_50000,16,50000
SEQ_WORST_4_100000,15,100000
SEQ_WORST_5_500000,78,500000
SEQ_WORST_6_1000000,219,1000000
SEQ_WORST_7_5000000,1224,5000000
SEQ_WORST_8_10000000,2613,10000000
SEQ_WORST_9_50000000,16070,50000000
