test_key,run_time (ms),test_size (n)
PAR_WORST_0_1000,0,1000
PAR_WORST_1_5000,31,5000
PAR_WORST_2_10000,15,10000
PAR_WORST_3_50000,62,50000
PAR_WORST_4_100000,47,100000
PAR_WORST_5_500000,173,500000
PAR_WORST_6_1000000,267,1000000
PAR_WORST_7_5000000,874,5000000
PAR_WORST_8_10000000,1549,10000000
PAR_WORST_9_50000000,9221,50000000
SEQ_WORST_0_1000,16,1000
SEQ_WORST_1_5000,0,5000
SEQ_WORST_2_10000,16,10000
SEQ_WORST_3_50000,31,50000
SEQ_WORST_4_100000,188,100000
SEQ_WORST_5_500000,218,500000
SEQ_WORST_6_1000000,780,1000000
SEQ_WORST_7_5000000,1889,5000000
SEQ_WORST_8_10000000,10796,10000000
SEQ_WORST_9_50000000,14680,50000000
